filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
(1666).jpg,182312,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[812,812,822,823,828,835,846,853,852,848,848,842,837,840,832,828,823,823,815],""all_points_y"":[321,306,308,301,300,292,291,296,326,329,316,332,331,322,322,339,339,325,325]}","{""nombre"":""RodillasBlancas""}"
(1667).jpg,178531,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[762,766,769,776,779,786,785,788,792,793,797,801,799,793,781,769,763,758,759],""all_points_y"":[328,325,342,342,328,326,337,333,322,332,331,309,296,292,292,304,308,308,325]}","{""nombre"":""RodillasBlancas\n""}"
(1668).jpg,182472,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[671,672,679,681,686,685,689,689,693,694,696,700,700,690,680,671,663,662,670],""all_points_y"":[330,347,346,332,329,338,337,329,327,335,334,313,299,294,296,311,311,330,330]}","{""nombre"":""RodillasBlancas""}"
(1669).jpg,111819,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[493,490,479,481,490,499,515,515,508,504,500,489,483],""all_points_y"":[555,553,547,529,529,512,515,547,551,542,560,563,552]}","{""nombre"":""RodillasBlancas\n""}"
(1670).jpg,148446,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[249,251,258,256,267,269,271,283,287,275,264,257,241,249],""all_points_y"":[346,360,359,373,377,355,364,363,331,319,317,335,338,351]}","{""nombre"":""RodillasBlancas""}"
(1671).jpg,211743,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[530,524,523,509,514,519,559,624,639,668],""all_points_y"":[718,694,716,717,680,660,653,660,667,718]}","{""nombre"":""ColoradaOscura""}"
(1672).jpg,233780,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[396,386,392,428,425,436,445,459,467,462,475,460,477,491,496,487,455,379,344,357,348,355,362,373,380,386,399],""all_points_y"":[527,511,487,478,498,501,471,487,485,470,475,484,485,500,460,459,416,427,447,485,507,516,503,527,529,537,531]}","{""nombre"":""ColoradaOscura\n""}"
(1672).jpg,233780,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[940,939,949,974,1036,1046,1046,1052,1065,1056,1034,1040,1025,1022,1033,1018,1006,996,1003,993,984,970,982,976,969,964,971,957,949,937],""all_points_y"":[419,397,348,330,338,349,363,388,394,420,419,408,414,403,399,386,412,411,382,389,410,408,387,388,406,405,387,401,424,425]}","{""nombre"":""Colorada\n""}"
(1673).jpg,239457,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[410,390,382,384,376,339,335,376,388,441,462,504,521,529,505,473,479,466,460,448,436,443,416],""all_points_y"":[474,471,450,428,408,436,420,387,374,362,355,377,376,404,410,405,425,428,413,440,442,421,430]}","{""nombre"":""ColoradaOscura\n""}"
(1673).jpg,239457,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[904,920,924,933,930,945,956,963,956,969,970,985,978,982,989,997,1019,1016,1019,1007,1000,928,909],""all_points_y"":[328,328,306,292,309,307,288,289,311,311,292,295,304,311,308,324,317,299,289,285,241,236,245]}","{""nombre"":""Colorada\n""}"
